No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
392,"UCSI University, Malaysia",Malaysia,"No. 1, Jalan Menara Gading UCSI Heights, 56000 Cheras, Kuala Lumpur",FALSE,FALSE,TRUE,FALSE,MoA: The 4th International Conference on Logistics and Supply Chain Management 2021 (LSCM 2021),,1,,1-Aug-21,31-Jul-23,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
393,"UCSI University, Malaysia",Malaysia,"No. 1, Jalan Menara Gading UCSI Heights, 56000 Cheras, Kuala Lumpur",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,21-Jun-21,auto renewed,20-Jun-26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
394,"Nanjing University of Aeronautics and Astronautics (NUAA), China",China,"Jiangsu, Nanjing, Qinhuai District, 29 Yudao St, China",TRUE,TRUE,FALSE,FALSE,"MoU:
1. Exchange of faculty members, research scholars and students
2. Exchange of lecturers/presentations via video teleconference activities; including scientific materials, publications, and information
3. Joint research activities and publications, conferences, academic programs, and cultural activties
4. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects
5. Joint Degree Program",,1,,1-Jul-22,30-Jun-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
395,"INTI International University, Malaysia",Malaysia,"Persiaran Perdana BBN, Putra Nilai, 71800 Nilai, Negeri Sembilan Malaysia",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Student Exchange Program
2. Faculty Exchange Program",,1,,1-Jan-22,31-Dec-26,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
396,"Macquarie University, Australia",Australia,"Balaclava Road, North Ryde, NSW, 2109",FALSE,TRUE,FALSE,FALSE,"MoU:
1. exchange of staff
2. joint research activities
3. joint conferences and other academic meetings
4. exchange of academic materials and information
5. exchange of students",,1,,10-Jul-22,9-Jul-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
397,"Momoyama Gakuin University, Japan",Japan,"1-1 Manabino, Izumi, Osaka Prefecture 594-1198",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,11-Nov-22,11-Nov-25,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
398,"Marsa Malaz Kempinski, Doha, Qatar",Qatar,"Costa Malaz Bay, P.O. Box 24892, The Pearl - Qatar",TRUE,FALSE,TRUE,FALSE,MoA: internship program,,1,,20-Oct-22,19-Oct-23,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
399,"National Taiwan University of Science and Technology (NTUST), Taiwan",Taiwan,"No.43, Sec. 4, Keelung Rd., Da‘an Dist., Taipei City 106335",FALSE,FALSE,TRUE,FALSE,MoA: Program Indonesian International Student Mobility Awards (IISMA),,1,1,5-Oct-22,N/A,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
400,"Marsa Malaz Kempinski, Doha, Qatar",Qatar,"Costa Malaz Bay, P.O. Box 24892, The Pearl - Qatar",FALSE,FALSE,TRUE,FALSE,MoA: internship program,,1,,20-Oct-22,19-Oct-23,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
401,"Marsa Malaz Kempinski, Doha, Qatar",Qatar,"Costa Malaz Bay, P.O. Box 24892, The Pearl - Qatar",FALSE,FALSE,TRUE,FALSE,MoA: internship program,,1,,20-Oct-22,19-Oct-23,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
402,"Marsa Malaz Kempinski, Doha, Qatar",Qatar,"Costa Malaz Bay, P.O. Box 24892, The Pearl - Qatar",FALSE,FALSE,TRUE,FALSE,MoA: internship program,,1,,20-Oct-22,19-Oct-23,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
403,"I-Shou University, Taiwan",Taiwan,"No.1, Sec. 1, Syuecheng Rd., Dashu District, Kaohsiung City 84001,Taiwan, R.O.C.",FALSE,FALSE,TRUE,FALSE,Appendix to MoA Joint Degree 1+1,1,,,29-Sep-22,28-Sep-31,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
404,"Keimyung University, Korea",Korea,"1095 Dulgubeol-daero, Dalseo-Gu, Daegu 704-701",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange (2 peserta/semester),,1,1,22-Nov-22,21-Nov-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
405,"Lingnan University, Hongkong",Hong Kong,"8 Castle Peak Road, Tuen Mun, New Territories",FALSE,FALSE,TRUE,FALSE,"MoA IAC: 1. Student exchange programmes
2. Faculty/staff exchange programmes
3. Cultural exchange programmes
4. Visiting scholars/tutors
5. Cooperative/collaborative research projects
6. Cooperative degree programmes
7. Short term training programmes/projects/service-learning programmes
8. Cooperative and exchange lectures, conferences, and seminars",,1,1,5-Dec-22,4-Dec-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
406,"Dankook University (DKU), Korea",Korea,"Jukjeon Campus : 152, Jukjeon-ro, Suji-gu, Yongin-si, Gyeonggi-do, 16890, Korea 
Cheonan Campus : 119, Dandae-ro, Dongnam-gu, Cheonan-si, Chungnam, 31116, Korea ",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange (2 peserta/semester),,1,1,23-Nov-22,22-Nov-25,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
407,"National Central University, Taiwan",Taiwan,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317 Taiwan (R.O.C.)",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of faculty members, research scholars and students
2. Exchange of lecturers/presentations via video teleconference activities; including scientific materials, publications, and information. 
3. Joint research activities and publications, conferences, academic programs, and cultural activities
4. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects. ",,1,,11-Nov-22,10-Nov-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
408,"National Taiwan University of Science and Technology (NTUST), Taiwan",Taiwan,"No.43, Sec. 4, Keelung Rd., Da‘an Dist., Taipei City 10607",FALSE,TRUE,FALSE,FALSE,"MoU: a. Exchange of faculty members, research scholars and students.
b. Exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information.
c. Joint research activities and publications, conferences, academic programs, and cultural activities.
d. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects. ",,1,,1-Oct-22,auto renewed,30-Sep-27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
409,"Nihon University, Japan",Japan,"Aza-Nakagawara, Tokusada, Tamuramachi, Koriyama-shi, Fukushima 963-8642, Japan (Kampus Fakultas Teknik)",TRUE,TRUE,FALSE,FALSE,MoU: Joint Research for Reinforced Concrete to Carbon Fiber Reinforced Polymer Bond Model,,1,,12-Oct-22,N/A,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
410,"Yangzhou University, China",China,"88 South University Ave., Yangzhou, Jiangsu 225009",FALSE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of faculty members, research scholars and students
2. Exchange of lecturers/presentations via video teleconference activities; including scientific materials, publications and information.
3. Joint research activities and publications, conferences, academic programs, and cultural activities.
4. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects.",,1,,16-Dec-22,auto renewed,15-Dec-27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
411,"University of Tasmania, Australia",Australia,"Churchill Ave, Hobart TAS 7005, Australia",TRUE,TRUE,FALSE,FALSE,"MoU: • Joint teaching activities; 
• Exchange of faculty members;
• Exchange of students;
• Study Abroad opportunities (Fee paying); and
• Professional development of staff.",,1,,15-Nov-22,14-Nov-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
412,Association of Christian Universities and Colleges in Asia (ACUCA),Korea,"70 Hannamro Daedeok-Gu Daejeon 34430, Korea",TRUE,FALSE,TRUE,FALSE,MoA: Student Exchange under the ACUCA Student Mobility Scheme,,1,1,15-Nov-22,auto renewed,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
413,"Universiti Tunku Abdul Rahman (UTAR), Malaysia",Malaysia,"Jalan Universiti, Bandar Barat, 31900 Kampar, Perak Darul Ridzuan, Malaysia",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange (4 peserta/semester),,1,1,30-Jan-23,29-Jan-26,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
414,"Daffodil International University, Bangladesh",Bangladesh,"Dhaka-1207, Dhanmondi, Mirpur Road, Sobhanbag, 4/2",FALSE,FALSE,TRUE,FALSE,"MoA: International Programs (Student exchange program, faculty/staff exchange program, summer program, joint research program)",,1,1,12-Jan-23,11-Jan-28,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
415,"Sophia University, Japan",Japan,"Yotsuya Campus: 7-1 Kioi-cho, Chiyoda-ku, Tokyo 102-8554",FALSE,FALSE,TRUE,FALSE,MoA: Research Program ,,1,,17-Feb-23,16-Feb-26,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
416,"James Cook University (JCU), Singapore",Singapore,"149 Sims Drive, Singapore 387380",TRUE,TRUE,FALSE,FALSE,"MoU: 
1. Joint research activities, publications and articulations for academic programs.
2. Exchange of faculty members, professors and staff for the development of both parties.
3. Co-operation in study abroad arrangement involving students from Petra studying at JCU Singapore via advanced standings and/or articulation pathway.
4. Promote study tours, field trips and cross-culture exchange.
5. Joint collaboration in organising symposia or conferences.",,1,,16-Feb-23,15-Feb-28,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
417,"Fontys University of Applied Sciences, the Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange (2 peserta/semester),,1,1,16-Dec-22,15-Dec-27,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
418,"Tunku Abdul Rahman University of Management and Technology (TARUMT), Malaysia",Malaysia,"Jalan Genting Kelang, Setapak, 53300 Kuala Lumpur, Malaysia",TRUE,TRUE,FALSE,FALSE,"MoU:
(a) Collaborative research projects;
(b) Joint academic and related activities;
(c) Staff exchange for teaching and research activities;
(d) Student exchange to undertake study or participate in research programes; and
(e) Any other collaborative activities as mutually agreed in writing between the Parties.",,1,,7-Mar-23,6-Mar-28,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
419,"Guangdong University of Foreign Studies (GDUFS), China",China,"2 Baiyun N Ave, Baiyun Qu, Guangzhou Shi, Guangdong Sheng, China, 510420",FALSE,TRUE,FALSE,FALSE,"MoU:
a.        Exchange of faculty members, research scholars and students.
b.        Exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information.
c.        Joint research activities and publications, conferences, academic programs, and cultural activities.
d.        Joint research projects and joint courses of study, with particular emphasis on internationally funded projects. 
",,1,,12-Apr-23,11-Apr-28,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
420,"Wholistic Institute of Lifelong Learning (WILL), Singapore",Singapore,"159 Kampong Ampat, KA Place, #01-02 Singapore 368328",TRUE,FALSE,TRUE,FALSE,MoA: Project Management Professional (PMP) Exam Prep Course,,1,,23-Mar-23,22-Mar-24,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
421,"Everbest G & I Pty. Ltd., Australia",Australia,"33 Sherwood Road, Mount Waverley, 3149 VIC",FALSE,TRUE,FALSE,FALSE,"MoU: beasiswa, penyelenggaraan kuliah tamu dan penelitian bersama",,1,,24-Feb-20,23-Feb-30,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
422,"Everbest G & I Pty. Ltd., Australia",Australia,"33 Sherwood Road, Mount Waverley, 3149 VIC",FALSE,FALSE,TRUE,FALSE,MoA: Penghargaan Bagi Mahasiswa Program Studi Teknik Sipil,,1,,24-Feb-20,23-Feb-28,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
