No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
19,"University of Newcastle, Australia",Australia,"University Drive, Callaghan, New South Wales",TRUE,TRUE,FALSE,FALSE,"MoU: Development of joint courses and education programs; Establishment of credit transfer arrangement; Exchange of professors and researches for researchs, lectures and discussions; Exchange information including the exchange of library materials and research publications; Joint conferences, seminars and workshops; Joint student activities; Joint use of equipment, facilities and resources; Student mobility.",,1,,14-Oct-13,13-Oct-18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,"University of Wollongong, Australia",Australia,"Notrhfields Avenue, NSW 2522",TRUE,FALSE,TRUE,FALSE,MoA: Credit Transfer Arrangement / Joint Degree,1,,,1-Nov-19,31-Oct-22,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
21,"University of Wollongong, Australia",Australia,"Notrhfields Avenue, NSW 2522",FALSE,TRUE,FALSE,FALSE,"MoU: Academic visits for research, lectures & consultation; Joint teaching programs; Credit transfer; Joint research; seminars; exchange of educational & academic materials; educational consultation; exchange in research commercialisation, interdisciplinary research, innovation & technology transfer; joint international conferences, seminar, workshops, academic meetings; exchange of undergraduate / graduate students; exchange of faculty / staff; consultation regarding education needs; reception of fee-paying students",,1,,26-Sep-19,25-Sep-24,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
22,"Daffodil International University, Bangladesh",Bangladesh,"Dhaka-1207, Dhanmondi, Mirpur Road, Sobhanbag, 4/2",TRUE,TRUE,FALSE,FALSE,"MoU: Exchange of research scientists and faculty members, exchange students, exchange academic materials, joint research, seminar and academic meeting, special short-term training programs",,1,,31-Oct-12,No Limit,No Limit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
23,"Daffodil International University, Bangladesh",Bangladesh,"Dhaka-1207, Dhanmondi, Mirpur Road, Sobhanbag, 4/2",FALSE,FALSE,TRUE,FALSE,"MoA: International Programs (Student exchange program, faculty/staff exchange program, summer program, joint research program)",,1,1,23-Nov-17,22-Nov-22,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
24,"Fareast International University, Bangladesh",Bangladesh,"Fareast International University: House # 50, Road # 11, Block - C

Banani, Dhaka-1213, Bangladesh
Proposed Permanent Campus:
Plot # 1, 2, Road # 2, Sector # 16/I
Uttara, Dhaka, Bangladesh",TRUE,TRUE,FALSE,FALSE,"MoU: 
1. Exchange of students
2. Exchange of faculty, staff, & researches
3. Exchange of academic information and publications
4. Joint research activities
5. Summer/winter school/short term program participation
6. Joint organizers of international research conferences
7. Other exchanges of academic & cultural nature agreed upon by both parties",,1,,24-Nov-19,23-Nov-24,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
25,Southern University Bangladesh,Bangladesh,"739/A, Mehedibag Road, Chittagong",TRUE,TRUE,FALSE,FALSE,"MoU: 1. exchange of faculty members, research scholars, and students
2. exchange of lecturers/presentations including scientific materials, publications, and information
3. joint research activitites and publication, conferences, academic programs, and cultural activities
4. joint research projects and joint courses of study ",,1,,8-Nov-18,auto renewed,7-Nov-21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
26,"Restaurant Tandjung Priok Arum, Belanda",Netherlands,"Schoolstraat 22 8822 VP Arum, Friesland",TRUE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,1,,3-Jan-12,15-Aug-12,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
27,"Cambodian University for Specialties (CUS), Cambodia",Cambodia,"No.63-65, Monireth (St.217)",TRUE,TRUE,FALSE,FALSE,"MoU: Exchange academic and administrative staffs and students, student learning opportunities, research and presentation, exchange of academic materials, exchange resources and staff for library and auxiliary services",,1,,31-Oct-12,auto renewed,30-Oct-15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
28,"Norton University, Cambodia",Cambodia,"St. Keo Chenda, Sangkat Chroy Changvar, Khan Chroy Changvar, Phnom Penh, Cambodia.",TRUE,TRUE,FALSE,FALSE,"MoU: Exchange of research scientists and faculty members, exchange students, exchange academic materials, joint research, seminar and academic meeting, special short-term training programs.",,1,,31-Oct-12,30-Oct-15,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
